k4,k6,k12,k18,k30,k4_g,k6_g,k12_g,k18_g,k30_g
0.89183223,0,0,0,0,400,337.8712871,75.74257426,-211.6336634,-801.5346535
0.900397351,0.0396,0.026401766,0.023761905,0.022001958,400.960396,340.8118812,84.62376238,-196.8118812,-774.8316832
0.908609272,0.0784,0.052450331,0.047238095,0.043759178,401.8811881,343.6930693,93.38613861,-182.1683168,-748.4257426
0.916467991,0.1164,0.078145695,0.070428571,0.065271659,402.7623762,346.5148515,102.029703,-167.7029703,-722.3168317
0.92397351,0.1536,0.103487859,0.093333333,0.086539403,403.6039604,349.2772277,110.5544554,-153.4158416,-696.5049505
0.931125828,0.19,0.128476821,0.115952381,0.107562408,404.4059406,351.980198,118.960396,-139.3069307,-670.990099
0.937924945,0.2256,0.153112583,0.138285714,0.128340675,405.1683168,354.6237624,127.2475248,-125.3762376,-645.7722772
0.944370861,0.2604,0.177395143,0.160333333,0.148874205,405.8910891,357.2079208,135.4158416,-111.6237624,-620.8514851
0.950463576,0.2944,0.201324503,0.182095238,0.169162996,406.5742574,359.7326733,143.4653465,-98.04950495,-596.2277228
0.956203091,0.3276,0.224900662,0.203571429,0.189207048,407.2178218,362.1980198,151.3960396,-84.65346535,-571.9009901
0.961589404,0.36,0.24812362,0.224761905,0.209006363,407.8217822,364.6039604,159.2079208,-71.43564356,-547.8712871
0.966622517,0.3916,0.270993377,0.245666667,0.22856094,408.3861386,366.950495,166.9009901,-58.3960396,-524.1386139
0.971302428,0.4224,0.293509934,0.266285714,0.247870778,408.9108911,369.2376238,174.4752475,-45.53465347,-500.7029703
0.975629139,0.4524,0.315673289,0.286619048,0.266935879,409.3960396,371.4653465,181.9306931,-32.85148515,-477.5643564
0.979602649,0.4816,0.337483444,0.306666667,0.285756241,409.8415842,373.6336634,189.2673267,-20.34653465,-454.7227723
0.983222958,0.51,0.358940397,0.326428571,0.304331865,410.2475248,375.7425743,196.4851485,-8.01980198,-432.1782178
0.986490066,0.5376,0.38004415,0.345904762,0.322662751,410.6138614,377.7920792,203.5841584,4.128712871,-409.9306931
0.989403974,0.5644,0.400794702,0.365095238,0.340748899,410.9405941,379.7821782,210.5643564,16.0990099,-387.980198
0.99196468,0.5904,0.421192053,0.384,0.358590308,411.2277228,381.7128713,217.4257426,27.89108911,-366.3267327
0.994172185,0.6156,0.441236203,0.402619048,0.37618698,411.4752475,383.5841584,224.1683168,39.5049505,-344.970297
0.99602649,0.64,0.460927152,0.420952381,0.393538913,411.6831683,385.3960396,230.7920792,50.94059406,-323.9108911
0.997527594,0.6636,0.480264901,0.439,0.410646109,411.8514851,387.1485149,237.2970297,62.1980198,-303.1485149
0.998675497,0.6864,0.499249448,0.456761905,0.427508566,411.980198,388.8415842,243.6831683,73.27722772,-282.6831683
0.999470199,0.7084,0.517880795,0.474238095,0.444126285,412.0693069,390.4752475,249.950495,84.17821782,-262.5148515
