subject_id,round,overall_round,price,cost,service_level,expediting_cost,salvage_value,optimum,order,demand,leftover,shortage,lagleftover,lagshortage,lagdemand,gender,age,semester,related_course,program,treatment_id,included_treatment,study,experiment,playing_order,bundle
1,1,1,12,3,0,0,0,75,95,32,63,0,,,,Female,2,7,Past semesters,Business,1,0,Base study,Main,,
1,2,2,12,3,0,0,0,75,30,43,0,13,63,0,32,Female,2,7,Past semesters,Business,1,0,Base study,Main,,
1,3,3,12,3,0,0,0,75,45,13,32,0,0,13,43,Female,2,7,Past semesters,Business,1,0,Base study,Main,,
1,4,4,12,3,0,0,0,75,50,12,38,0,32,0,13,Female,2,7,Past semesters,Business,1,0,Base study,Main,,
1,5,5,12,3,0,0,0,75,74,6,68,0,38,0,12,Female,2,7,Past semesters,Business,1,0,Base study,Main,,
1,6,6,12,3,0,0,0,75,40,79,0,39,68,0,6,Female,2,7,Past semesters,Business,1,0,Base study,Main,,
1,7,7,12,3,0,0,0,75,80,52,28,0,0,39,79,Female,2,7,Past semesters,Business,1,0,Base study,Main,,
1,8,8,12,3,0,0,0,75,60,78,0,18,28,0,52,Female,2,7,Past semesters,Business,1,0,Base study,Main,,
1,9,9,12,3,0,0,0,75,70,6,64,0,0,18,78,Female,2,7,Past semesters,Business,1,0,Base study,Main,,
1,10,10,12,3,0,0,0,75,65,86,0,21,64,0,6,Female,2,7,Past semesters,Business,1,0,Base study,Main,,
1,11,11,12,3,0,0,0,75,60,7,53,0,0,21,86,Female,2,7,Past semesters,Business,1,0,Base study,Main,,
1,12,12,12,3,0,0,0,75,50,64,0,14,53,0,7,Female,2,7,Past semesters,Business,1,0,Base study,Main,,
1,13,13,12,3,0,0,0,75,65,4,61,0,0,14,64,Female,2,7,Past semesters,Business,1,0,Base study,Main,,
1,14,14,12,3,0,0,0,75,60,65,0,5,61,0,4,Female,2,7,Past semesters,Business,1,0,Base study,Main,,
1,15,15,12,3,0,0,0,75,20,5,15,0,0,5,65,Female,2,7,Past semesters,Business,1,0,Base study,Main,,
1,16,16,12,3,0,0,0,75,40,28,12,0,15,0,5,Female,2,7,Past semesters,Business,1,0,Base study,Main,,
1,17,17,12,3,0,0,0,75,70,81,0,11,12,0,28,Female,2,7,Past semesters,Business,1,0,Base study,Main,,
1,18,18,12,3,0,0,0,75,34,18,16,0,0,11,81,Female,2,7,Past semesters,Business,1,0,Base study,Main,,
1,19,19,12,3,0,0,0,75,58,21,37,0,16,0,18,Female,2,7,Past semesters,Business,1,0,Base study,Main,,
1,20,20,12,3,0,0,0,75,66,35,31,0,37,0,21,Female,2,7,Past semesters,Business,1,0,Base study,Main,,
1,21,21,12,3,0,0,0,75,48,16,32,0,31,0,35,Female,2,7,Past semesters,Business,1,0,Base study,Main,,
1,22,22,12,3,0,0,0,75,65,68,0,3,32,0,16,Female,2,7,Past semesters,Business,1,0,Base study,Main,,
1,23,23,12,3,0,0,0,75,68,78,0,10,0,3,68,Female,2,7,Past semesters,Business,1,0,Base study,Main,,
1,24,24,12,3,0,0,0,75,69,4,65,0,0,10,78,Female,2,7,Past semesters,Business,1,0,Base study,Main,,
1,25,25,12,3,0,0,0,75,45,85,0,40,65,0,4,Female,2,7,Past semesters,Business,1,0,Base study,Main,,
1,26,26,12,3,0,0,0,75,55,81,0,26,0,40,85,Female,2,7,Past semesters,Business,1,0,Base study,Main,,
1,27,27,12,3,0,0,0,75,62,61,1,0,0,26,81,Female,2,7,Past semesters,Business,1,0,Base study,Main,,
1,28,28,12,3,0,0,0,75,60,93,0,33,1,0,61,Female,2,7,Past semesters,Business,1,0,Base study,Main,,
1,29,29,12,3,0,0,0,75,28,24,4,0,0,33,93,Female,2,7,Past semesters,Business,1,0,Base study,Main,,
1,30,30,12,3,0,0,0,75,50,80,0,30,4,0,24,Female,2,7,Past semesters,Business,1,0,Base study,Main,,
2,1,1,12,3,0,0,0,75,30,44,0,14,,,,Female,5,8,Currently attending,Business,1,0,Base study,Main,,
2,2,2,12,3,0,0,0,75,35,6,29,0,0,14,44,Female,5,8,Currently attending,Business,1,0,Base study,Main,,
2,3,3,12,3,0,0,0,75,40,43,0,3,29,0,6,Female,5,8,Currently attending,Business,1,0,Base study,Main,,
2,4,4,12,3,0,0,0,75,10,78,0,68,0,3,43,Female,5,8,Currently attending,Business,1,0,Base study,Main,,
2,5,5,12,3,0,0,0,75,50,97,0,47,0,68,78,Female,5,8,Currently attending,Business,1,0,Base study,Main,,
2,6,6,12,3,0,0,0,75,30,92,0,62,0,47,97,Female,5,8,Currently attending,Business,1,0,Base study,Main,,
2,7,7,12,3,0,0,0,75,70,25,45,0,0,62,92,Female,5,8,Currently attending,Business,1,0,Base study,Main,,
2,8,8,12,3,0,0,0,75,30,61,0,31,45,0,25,Female,5,8,Currently attending,Business,1,0,Base study,Main,,
2,9,9,12,3,0,0,0,75,20,10,10,0,0,31,61,Female,5,8,Currently attending,Business,1,0,Base study,Main,,
2,10,10,12,3,0,0,0,75,40,60,0,20,10,0,10,Female,5,8,Currently attending,Business,1,0,Base study,Main,,
2,11,11,12,3,0,0,0,75,40,31,9,0,0,20,60,Female,5,8,Currently attending,Business,1,0,Base study,Main,,
2,12,12,12,3,0,0,0,75,50,67,0,17,9,0,31,Female,5,8,Currently attending,Business,1,0,Base study,Main,,
2,13,13,12,3,0,0,0,75,40,33,7,0,0,17,67,Female,5,8,Currently attending,Business,1,0,Base study,Main,,
2,14,14,12,3,0,0,0,75,60,73,0,13,7,0,33,Female,5,8,Currently attending,Business,1,0,Base study,Main,,
2,15,15,12,3,0,0,0,75,30,66,0,36,0,13,73,Female,5,8,Currently attending,Business,1,0,Base study,Main,,
2,16,16,12,3,0,0,0,75,40,1,39,0,0,36,66,Female,5,8,Currently attending,Business,1,0,Base study,Main,,
2,17,17,12,3,0,0,0,75,60,38,22,0,39,0,1,Female,5,8,Currently attending,Business,1,0,Base study,Main,,
2,18,18,12,3,0,0,0,75,60,83,0,23,22,0,38,Female,5,8,Currently attending,Business,1,0,Base study,Main,,
2,19,19,12,3,0,0,0,75,50,44,6,0,0,23,83,Female,5,8,Currently attending,Business,1,0,Base study,Main,,
2,20,20,12,3,0,0,0,75,70,34,36,0,6,0,44,Female,5,8,Currently attending,Business,1,0,Base study,Main,,
2,21,21,12,3,0,0,0,75,50,54,0,4,36,0,34,Female,5,8,Currently attending,Business,1,0,Base study,Main,,
2,22,22,12,3,0,0,0,75,50,72,0,22,0,4,54,Female,5,8,Currently attending,Business,1,0,Base study,Main,,
2,23,23,12,3,0,0,0,75,50,17,33,0,0,22,72,Female,5,8,Currently attending,Business,1,0,Base study,Main,,
2,24,24,12,3,0,0,0,75,70,25,45,0,33,0,17,Female,5,8,Currently attending,Business,1,0,Base study,Main,,
2,25,25,12,3,0,0,0,75,70,64,6,0,45,0,25,Female,5,8,Currently attending,Business,1,0,Base study,Main,,
2,26,26,12,3,0,0,0,75,60,71,0,11,6,0,64,Female,5,8,Currently attending,Business,1,0,Base study,Main,,
2,27,27,12,3,0,0,0,75,50,68,0,18,0,11,71,Female,5,8,Currently attending,Business,1,0,Base study,Main,,
2,28,28,12,3,0,0,0,75,40,57,0,17,0,18,68,Female,5,8,Currently attending,Business,1,0,Base study,Main,,
2,29,29,12,3,0,0,0,75,50,54,0,4,0,17,57,Female,5,8,Currently attending,Business,1,0,Base study,Main,,
2,30,30,12,3,0,0,0,75,70,7,63,0,0,4,54,Female,5,8,Currently attending,Business,1,0,Base study,Main,,
