,subject_id,round,overall_round,price,cost,service_level,expediting_cost,salvage_value,optimum,order,demand,leftover,shortage,lagleftover,lagshortage,lagdemand,gender,age,semester,related_course,program,treatment_id,included_treatment,study,experiment,playing_order,bundle,expediting_level,related_course_r,distance_opt,round_r,subject_id_r,exp_profit_norm,proportion_max_exp_profit,percent_deviation_opt,gender_r
0,1,1,1,12,3.0,0.0,0,0,75.0,95,32,63,0,,,,Female,2.0,7.0,Past semesters,Business,1,0,Base study,Main,,,,Yes,20.0,1,0,0.0,0.0,0.26666666666666666,0
1,1,2,2,12,3.0,0.0,0,0,75.0,30,43,0,13,63.0,0.0,32.0,Female,2.0,7.0,Past semesters,Business,1,0,Base study,Main,,,,Yes,45.0,2,0,0.0,0.0,0.6,0
2,1,3,3,12,3.0,0.0,0,0,75.0,45,13,32,0,0.0,13.0,43.0,Female,2.0,7.0,Past semesters,Business,1,0,Base study,Main,,,,Yes,30.0,3,0,0.0,0.0,0.4,0
3,1,4,4,12,3.0,0.0,0,0,75.0,50,12,38,0,32.0,0.0,13.0,Female,2.0,7.0,Past semesters,Business,1,0,Base study,Main,,,,Yes,25.0,4,0,0.0,0.0,0.3333333333333333,0
4,1,5,5,12,3.0,0.0,0,0,75.0,74,6,68,0,38.0,0.0,12.0,Female,2.0,7.0,Past semesters,Business,1,0,Base study,Main,,,,Yes,1.0,5,0,0.0,0.0,0.013333333333333334,0
5,1,6,6,12,3.0,0.0,0,0,75.0,40,79,0,39,68.0,0.0,6.0,Female,2.0,7.0,Past semesters,Business,1,0,Base study,Main,,,,Yes,35.0,6,0,0.0,0.0,0.4666666666666667,0
6,1,7,7,12,3.0,0.0,0,0,75.0,80,52,28,0,0.0,39.0,79.0,Female,2.0,7.0,Past semesters,Business,1,0,Base study,Main,,,,Yes,5.0,7,0,0.0,0.0,0.06666666666666667,0
7,1,8,8,12,3.0,0.0,0,0,75.0,60,78,0,18,28.0,0.0,52.0,Female,2.0,7.0,Past semesters,Business,1,0,Base study,Main,,,,Yes,15.0,8,0,0.0,0.0,0.2,0
8,1,9,9,12,3.0,0.0,0,0,75.0,70,6,64,0,0.0,18.0,78.0,Female,2.0,7.0,Past semesters,Business,1,0,Base study,Main,,,,Yes,5.0,9,0,0.0,0.0,0.06666666666666667,0
9,1,10,10,12,3.0,0.0,0,0,75.0,65,86,0,21,64.0,0.0,6.0,Female,2.0,7.0,Past semesters,Business,1,0,Base study,Main,,,,Yes,10.0,10,0,0.0,0.0,0.13333333333333333,0
10,1,11,11,12,3.0,0.0,0,0,75.0,60,7,53,0,0.0,21.0,86.0,Female,2.0,7.0,Past semesters,Business,1,0,Base study,Main,,,,Yes,15.0,11,0,0.0,0.0,0.2,0
11,1,12,12,12,3.0,0.0,0,0,75.0,50,64,0,14,53.0,0.0,7.0,Female,2.0,7.0,Past semesters,Business,1,0,Base study,Main,,,,Yes,25.0,12,0,0.0,0.0,0.3333333333333333,0
12,1,13,13,12,3.0,0.0,0,0,75.0,65,4,61,0,0.0,14.0,64.0,Female,2.0,7.0,Past semesters,Business,1,0,Base study,Main,,,,Yes,10.0,13,0,0.0,0.0,0.13333333333333333,0
13,1,14,14,12,3.0,0.0,0,0,75.0,60,65,0,5,61.0,0.0,4.0,Female,2.0,7.0,Past semesters,Business,1,0,Base study,Main,,,,Yes,15.0,14,0,0.0,0.0,0.2,0
14,1,15,15,12,3.0,0.0,0,0,75.0,20,5,15,0,0.0,5.0,65.0,Female,2.0,7.0,Past semesters,Business,1,0,Base study,Main,,,,Yes,55.0,15,0,0.0,0.0,0.7333333333333333,0
15,1,16,16,12,3.0,0.0,0,0,75.0,40,28,12,0,15.0,0.0,5.0,Female,2.0,7.0,Past semesters,Business,1,0,Base study,Main,,,,Yes,35.0,16,0,0.0,0.0,0.4666666666666667,0
16,1,17,17,12,3.0,0.0,0,0,75.0,70,81,0,11,12.0,0.0,28.0,Female,2.0,7.0,Past semesters,Business,1,0,Base study,Main,,,,Yes,5.0,17,0,0.0,0.0,0.06666666666666667,0
17,1,18,18,12,3.0,0.0,0,0,75.0,34,18,16,0,0.0,11.0,81.0,Female,2.0,7.0,Past semesters,Business,1,0,Base study,Main,,,,Yes,41.0,18,0,0.0,0.0,0.5466666666666666,0
18,1,19,19,12,3.0,0.0,0,0,75.0,58,21,37,0,16.0,0.0,18.0,Female,2.0,7.0,Past semesters,Business,1,0,Base study,Main,,,,Yes,17.0,19,0,0.0,0.0,0.22666666666666666,0
19,1,20,20,12,3.0,0.0,0,0,75.0,66,35,31,0,37.0,0.0,21.0,Female,2.0,7.0,Past semesters,Business,1,0,Base study,Main,,,,Yes,9.0,20,0,0.0,0.0,0.12,0
20,1,21,21,12,3.0,0.0,0,0,75.0,48,16,32,0,31.0,0.0,35.0,Female,2.0,7.0,Past semesters,Business,1,0,Base study,Main,,,,Yes,27.0,21,0,0.0,0.0,0.36,0
21,1,22,22,12,3.0,0.0,0,0,75.0,65,68,0,3,32.0,0.0,16.0,Female,2.0,7.0,Past semesters,Business,1,0,Base study,Main,,,,Yes,10.0,22,0,0.0,0.0,0.13333333333333333,0
22,1,23,23,12,3.0,0.0,0,0,75.0,68,78,0,10,0.0,3.0,68.0,Female,2.0,7.0,Past semesters,Business,1,0,Base study,Main,,,,Yes,7.0,23,0,0.0,0.0,0.09333333333333334,0
